method,backbone,dataset,num_students,avg_learning_gain,std_learning_gain,median_learning_gain
Vanilla-ICL,llama,assist2017,10,0.5466666666666667,0.2900187220826928,0.6190476190476191
Vanilla-ICL,llama,nips_task34,10,0.45476190476190465,0.27829034342415526,0.4017857142857143
Vanilla-ICL,llama,algebra2005,9,0.6830687830687832,0.23215337108194556,0.6666666666666667
Vanilla-ICL,llama,bridge2006,10,0.43809523809523815,0.35367985973855126,0.45238095238095233
Vanilla-ICL,qwen,assist2017,10,0.58,0.2382094963941102,0.6428571428571428
Vanilla-ICL,qwen,nips_task34,10,0.6107142857142858,0.2679555962507713,0.5714285714285714
Vanilla-ICL,qwen,algebra2005,9,0.737037037037037,0.23172156861533635,0.8
Vanilla-ICL,qwen,bridge2006,10,0.45714285714285713,0.45632091009582043,0.5857142857142857
Vanilla-ICL,gpt,assist2017,10,0.5419047619047619,0.32749843971709663,0.6190476190476191
Vanilla-ICL,gpt,nips_task34,10,0.4225,0.3318895650988695,0.39285714285714285
Vanilla-ICL,gpt,algebra2005,9,0.5730158730158731,0.24759615278772698,0.5714285714285714
Vanilla-ICL,gpt,bridge2006,10,0.48047619047619045,0.3958238153766773,0.46428571428571425
TutorLLM,llama,assist2017,2,0.5,0.47140452079103173,0.5
TutorLLM,llama,nips_task34,10,0.6329761904761905,0.25127543762380766,0.6696428571428571
TutorLLM,llama,algebra2005,5,0.7552380952380953,0.11613581852585883,0.8
TutorLLM,llama,bridge2006,10,0.44380952380952393,0.38798274735469623,0.6000000000000001
TutorLLM,qwen,assist2017,10,0.42523809523809525,0.37947497910028866,0.4285714285714286
TutorLLM,qwen,nips_task34,10,0.37428571428571433,0.2106512774596662,0.33333333333333326
TutorLLM,qwen,algebra2005,9,0.6126984126984127,0.2518525465732271,0.6666666666666667
TutorLLM,qwen,bridge2006,8,0.4726190476190477,0.2829314591211354,0.5857142857142857
TutorLLM,gpt,assist2017,10,0.5552380952380953,0.25530600060135433,0.6333333333333334
TutorLLM,gpt,nips_task34,10,0.3623809523809524,0.24237957505247903,0.35416666666666663
TutorLLM,gpt,algebra2005,9,0.7238095238095237,0.1582751414725739,0.7142857142857143
TutorLLM,gpt,bridge2006,10,0.5609523809523809,0.4340090086644687,0.7000000000000001
MathChat,llama,assist2017,10,0.43000000000000005,0.33184892457676635,0.5
MathChat,llama,nips_task34,10,0.4669047619047618,0.28862756364620945,0.4017857142857143
MathChat,llama,algebra2005,9,0.6444444444444445,0.2637274240480337,0.7142857142857143
MathChat,llama,bridge2006,10,0.38904761904761903,0.3534521826955592,0.34285714285714286
MathChat,qwen,assist2017,10,0.34095238095238095,0.38197745682935946,0.38095238095238093
MathChat,qwen,nips_task34,10,0.28380952380952384,0.2538195249029717,0.30952380952380953
MathChat,qwen,algebra2005,9,0.4804232804232804,0.35100636372028077,0.4999999999999999
MathChat,qwen,bridge2006,10,0.488095238095238,0.32720943077763076,0.5
MathChat,gpt,assist2017,7,0.34693877551020413,0.2604059359629132,0.28571428571428575
MathChat,gpt,nips_task34,6,0.4503968253968254,0.35254313084796834,0.39285714285714285
MathChat,gpt,algebra2005,9,0.452910052910053,0.2926290676385539,0.4999999999999999
MathChat,gpt,bridge2006,6,0.3793650793650794,0.462171417057866,0.4666666666666667
PSS-MV,llama,assist2017,10,0.4809523809523809,0.27920269450850804,0.38095238095238093
PSS-MV,llama,nips_task34,4,0.4330357142857143,0.12742127755123595,0.43749999999999994
PSS-MV,llama,algebra2005,9,0.7582010582010582,0.29152598918167616,0.8333333333333334
PSS-MV,llama,bridge2006,10,0.5461904761904762,0.3444411527894799,0.6333333333333334
PSS-MV,qwen,assist2017,10,0.6300000000000001,0.255037925931402,0.6904761904761905
PSS-MV,qwen,nips_task34,10,0.49190476190476184,0.2499186060496214,0.49999999999999994
PSS-MV,qwen,algebra2005,9,0.7767195767195768,0.20291867561681984,0.8333333333333334
PSS-MV,qwen,bridge2006,10,0.5314285714285715,0.40001385715478394,0.7000000000000001
PSS-MV,gpt,assist2017,10,0.3966666666666667,0.24672253253905338,0.30952380952380953
PSS-MV,gpt,nips_task34,10,0.5332142857142858,0.23311487586911725,0.4642857142857143
PSS-MV,gpt,algebra2005,9,0.6497354497354499,0.2576506352335092,0.8
PSS-MV,gpt,bridge2006,10,0.4347619047619048,0.2856970894295936,0.3666666666666666
