Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(SubSkills)	Opportunity(SubSkills)
155	2719gmbyqtjd	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU141	1	SmallerBar	2006-10-05 13:52:31.0	2006-10-05 13:52:39.0	2006-10-05 13:52:55.0	2006-10-05 13:52:55.0	24		24	0	1	0	1	Enter smaller inital in diagram -- calculated	2
402	2719gmbyqtjd	Unit LCM, Section lcm-1	LCM-05-15	1	LCMFactor2:2	2006-10-19 13:37:56.0	2006-10-19 13:37:58.0	2006-10-19 13:37:58.0	2006-10-19 13:37:58.0	2	2		1	0	0	1	List consecutive multiples of a number	91
615	271ddas14t8g	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-1	PICTALG1AU220	1	Label:1	2006-10-05 13:39:20.0	2006-10-05 13:39:30.0	2006-10-05 13:39:30.0	2006-10-05 13:39:30.0	3.333	3.333		1	0	0	1		
852	271ddas14t8g	Unit LCM, Section lcm-1	LCM-06-09	1	LCMCheckbox1:2	2006-10-05 14:20:02.0	2006-10-05 14:20:05.0	2006-10-05 14:20:05.0	2006-10-05 14:20:05.0	1.5	1.5		1	0	0	1	Identify number as common multiple	73
1039	271ddas14t8g	Unit GCF, Section gcf-2	GCF-C-04-06	2	GCFCheckbox1:1	2006-11-09 13:33:16.0	2006-11-09 13:33:17.0	2006-11-09 13:33:18.0	2006-11-09 13:33:18.0	2		2	0	1	0	1	Identify number as common factor	2
1182	271eeiu8xj8f	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU547	1	Bar1	2006-10-05 13:44:49.0	2006-10-05 13:44:50.0	2006-10-05 13:44:50.0	2006-10-05 13:44:50.0	1	1		1	0	0	1	Draw smaller bar -- addition/subtraction	7
1729	271eeiu8xj8f	Unit LCM, Section lcm-1	LCM-08-20	1	LCMCheckbox2:5	2006-10-12 13:28:47.0	2006-10-12 13:28:48.0	2006-10-12 13:28:48.0	2006-10-12 13:28:48.0	1	1		1	0	0	1	Identify number as common multiple	228
2387	271eeiu8xj8f	Unit GCF, Section gcf-1	GCF-14-20	1	MorePairs2:1	2007-01-18 14:11:02.0	2007-01-18 14:11:03.0	2007-01-18 14:11:03.0	2007-01-18 14:11:03.0	1	1		1	0	0	1		
2636	271ehalus09w	Unit PICTURE-ALGEBRA-1, Section PICTURE-ALGEBRA-I-2	PICTALG2SU037	1	Label:2	2006-10-05 13:51:56.0	2006-10-05 13:51:57.0	2006-10-05 13:51:57.0	2006-10-05 13:51:57.0	0.5	0.5		1	0	0	1		
2844	271ehalus09w	Unit LCM, Section lcm-1	LCM-08-14	1	LCMCheckbox2:7	2006-10-05 14:10:43.0	2006-10-05 14:10:44.0	2006-10-05 14:10:44.0	2006-10-05 14:10:44.0	0.5	0.5		1	0	0	1	Identify number as common multiple	83
