method,turns,avg_learning_gain,std_learning_gain,median_learning_gain,num_students
Vanilla-ICL,0,0.4276190476190476,0.28998240622211435,0.28571428571428575,10
Vanilla-ICL,4,0.32571428571428573,0.22090516736944285,0.28571428571428575,10
Vanilla-ICL,8,0.3871428571428571,0.32750724836624046,0.3928571428571428,10
Vanilla-ICL,12,0.4990476190476191,0.3455043308417211,0.5476190476190477,10
Vanilla-ICL,16,0.4228571428571429,0.26047053184416785,0.4999999999999999,10
Vanilla-ICL,20,0.4885714285714286,0.2889044126301781,0.5142857142857143,10
Vanilla-ICL,24,0.4319047619047619,0.19357069641986532,0.4285714285714286,10
Vanilla-ICL,28,0.47285714285714286,0.18924662669195905,0.4999999999999999,10
TutorLLM,0,0.0,0.0,0.0,10
TutorLLM,4,0.5428571428571429,0.2697525531098771,0.46428571428571425,10
TutorLLM,8,0.480952380952381,0.2541715456206194,0.5,10
TutorLLM,12,0.549047619047619,0.281750681830618,0.6904761904761905,10
TutorLLM,16,0.5071428571428572,0.27808259919094025,0.38095238095238093,10
TutorLLM,24,0.5857142857142857,0.2819594541540469,0.5833333333333333,10
TutorLLM,28,0.5428571428571429,0.27721484910148353,0.5357142857142856,10
TASA,0,0.0,0.0,0.0,10
TASA,4,0.47904761904761906,0.2635119518216099,0.5,10
TASA,8,0.4419047619047619,0.2143153418671589,0.4285714285714286,10
TASA,12,0.5466666666666666,0.1965322958464018,0.5714285714285714,10
TASA,16,0.42190476190476184,0.13063945294843615,0.4166666666666666,10
TASA,24,0.5014285714285716,0.23068516696680658,0.38095238095238093,10
TASA,28,0.4609523809523809,0.24730566249673266,0.4285714285714286,10
