method,dataset,num_students,avg_learning_gain,std_learning_gain,median_learning_gain
simple_time,assist2017,10,0.4428571428571429,0.3375022745647158,0.33333333333333326
history,assist2017,10,0.46571428571428575,0.3364390465572849,0.4285714285714286
lpkt,assist2017,10,0.5252380952380953,0.2597947714162624,0.4761904761904763
dkt,assist2017,10,0.6738095238095239,0.18512659693005895,0.6666666666666667
akt,assist2017,10,0.5942857142857143,0.23233020523177475,0.5714285714285714
simplekt,assist2017,10,0.560952380952381,0.2029984355294702,0.5476190476190477
simple_time,nips_task34,9,0.5492063492063493,0.16800483202207742,0.5714285714285714
history,nips_task34,9,0.341005291005291,0.2809215524293207,0.33333333333333326
lpkt,nips_task34,9,0.5166666666666667,0.2658462880429463,0.5714285714285714
dkt,nips_task34,9,0.5235449735449735,0.25823784290785157,0.4285714285714286
akt,nips_task34,9,0.43134920634920637,0.18984829544519677,0.4285714285714286
simplekt,nips_task34,9,0.4440476190476191,0.24088690763006132,0.37499999999999994
simple_time,algebra2005,9,0.482010582010582,0.21287602155784435,0.4285714285714286
history,algebra2005,9,0.5751322751322752,0.3009506647195054,0.7142857142857143
lpkt,algebra2005,9,0.5544973544973545,0.28591373109316387,0.5714285714285714
dkt,algebra2005,9,0.6232804232804234,0.35867484473110517,0.8
akt,algebra2005,9,0.6259259259259261,0.25169618594177523,0.7142857142857143
simplekt,algebra2005,9,0.473015873015873,0.27767458400648526,0.3999999999999999
simple_time,bridge2006,10,0.4776190476190475,0.35454824715629674,0.5357142857142856
history,bridge2006,10,0.480952380952381,0.42927631626579066,0.6071428571428571
lpkt,bridge2006,10,0.5428571428571429,0.28563490960893,0.5357142857142856
dkt,bridge2006,10,0.539047619047619,0.392604857265034,0.6666666666666667
akt,bridge2006,9,0.39735449735449735,0.5094632313294,0.4999999999999999
simplekt,bridge2006,9,0.2513227513227513,0.3893987587269122,0.33333333333333326
